Vocabulary,name,Users,accepted_units,accepted_scale,accepted_instruments,calibration_review,apply_function,variable_name,long_name,units,instrument,scale,standard_name,sdn_parameter_urn,sdn_parameter_name,sdn_uom_urn,sdn_uom_name,definition,convention,legacy_gf3_code,SDN:P01::Alternative Name,comments,coverage_content_type,ioos_category,seabird_term
GF3,DOXY,"BIO,IML,MEDS",ml/L|millilitre per litre|ml/l,,,,,DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,ml/L,,,volume_fraction_of_oxygen_in_sea_water,SDN:P01::DOXYZZ01,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,SDN:P06::UMLL,Millilitres per litre,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by in-situ sensor,,DOXY,WC_dissO2_IS,,physicalMeasurement,Dissolved O2,"Oxygen, SBE 43"
GF3,DPDT,,metres/sec|m/s,,,,,dpdt,Lowering Rate,m/s,,,platform_heave_rate_down,,,,,,,DPDT,,,auxiliaryInformation,Other,
GF3,FFFF,,none,,,,,FFFF_XX,Quality Flag: FFFF,,,,status_flag,,,,,,,FFFF,,,qualityInformation,Quality,
GF3,LABT,IML,degree_celsius|Degrees C,,,,,,Lab Temperature,degree_celsius,,,,,,SDN:P06::UPAA,Degrees Celsius,Lab temperature for pH calculation,,LABT,,,physicalMeasurement,Temperature,
GF3,LATD,"BIO,IML,MEDS",degrees_north|degree|deg|degrees,,,,,preciseLat,Latitude East,degrees_north,,,latitude,SDN:P01::ALATZZ01,Latitude north,SDN:P06::DEGN,Degrees north,Latitude north,,LATD,Lat,,coordinate,Location,
GF3,LOND,"BIO,IML,MEDS",degrees_east|degree|deg|degrees,,,,,preciseLon,Longitude North,degrees_east,,,longitude,SDN:P01::ALONZZ01,Longitude east,SDN:P06::DEGE,Degrees east,Longitude east,,LOND,Lon,,coordinate,Location,
GF3,LPHT,IML,Total scale,,,,,PHMASSXX,pH (total scale) {pH[T]} of the water body,Total scale,,,sea_water_ph_reported_on_total_scale,SDN:P01::PHMASSXX,pH (total scale) {pH[T]} of the water body,SDN:P06::UUPH,pH units,,,LPHT,Total_pHmass,,physicalMeasurement,CO2,
GF3,NTRI,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,,,,NTRIXXDZ,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],mmol/m^3,,,mole_concentration_of_nitrite_in_sea_water,SDN:P01::NTRIXXDZ,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of nitrite {NO2- CAS 14797-65-0} per unit volume of the water body [dissolved plus reactive particulate <unknown phase],,NTRI,NO2_Filt,,physicalMeasurement,Nutrients,
GF3,NUM,,none,,number of scans averaged,,,RecPerBin,Number of scans per bin,1,,,,,,SDN:P06::UUUU,Dimensionless,,,CNTR,,,auxiliaryInformation,,
GF3,OCUR,"BIO,IML,MEDS",uA|microampere|ua,,,,,OXYCRWuA01,Raw signal (current) of instrument output by oxygen sensor,uA,,,,SDN:P01::OXYCRW01,Raw signal (current) of instrument output by oxygen sensor,,,Raw signal (current) of instrument output by oxygen sensor,,OCUR,RawOxyMembCurr,,physicalMeasurement,Other,
GF3,OCUR,"BIO,IML,MEDS",mA|milliampere|ma,,,,,OXYCRWmA01,Raw signal (current) of instrument output by oxygen sensor,mA,,,,SDN:P01::OXYCRW01,Raw signal (current) of instrument output by oxygen sensor,,,Raw signal (current) of instrument output by oxygen sensor,,OCUR,RawOxyMembCurr,,physicalMeasurement,Other,
GF3,OSAT,,%,,,,,OXYSZZ01,Oxygen Saturation,%,,,fractional_saturation_of_oxygen_in_sea_water,SDN:P01::OXYSZZ01,Saturation of oxygen {O2 CAS 7782-44-7} in the water body [dissolved plus reactive particulate phase],,,,,OSAT,O2Sat,,physicalMeasurement,Dissolved O2,
GF3,OXV,,volts|V,,,,,OXYOCPVLXX,Raw signal (voltage) of instrument output by oxygen sensor,volts,,,,SDN:P01::OXYOCPVL,Raw signal (voltage) of instrument output by oxygen sensor,SDN:P06::UVLT,Volts,Raw signal (voltage) of instrument output by oxygen sensor,,OXV,Oxy_output_V,,physicalMeasurement,Other,
GF3,OXYV,BIO,volts|V,,,,,OXYOCPVLXX,Raw signal (voltage) of instrument output by oxygen sensor,volts,,,,SDN:P01::OXYOCPVL,Raw signal (voltage) of instrument output by oxygen sensor,SDN:P06::UVLT,Volts,Raw signal (voltage) of instrument output by oxygen sensor,,OXYV,Oxy_output_V,,physicalMeasurement,Other,
GF3,PHA,"BIO,IML,MEDS",mg/m^3,,bottle|sample,,,PHAEZZXX,Concentration of phaeopigments {pheopigments} per unit volume of the water body [particulate >unknown phase],mg/m^3,,,,SDN:P01::PHAEZZXX,Concentration of phaeopigments {pheopigments} per unit volume of the water body [particulate >unknown phase],SDN:P06::UMMC,Milligrams per cubic metre,Concentration of phaeopigments {pheopigments} per unit volume of the water body [particulate >unknown phase],,PHA_,Phae_unspec,,physicalMeasurement,Other,
GF3,PHOS,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,,,,PHOSYYDZ,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase],mmol/m^3,,,mole_concentration_of_phosphate_in_sea_water,SDN:P01::PHOSYYDZ,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of phosphate {PO43- CAS 14265-44-2} per unit volume of the water body [dissolved plus reactive particulate phase],,PHOS,PO4_Unfilt,,physicalMeasurement,Nutrients,
GF3,PHPH,"BIO,IML,MEDS",dimensionless,,,,,PHXXZZXX,pH (unspecified scale) of the water body,dimensionless,,,sea_water_ph_reported_on_total_scale,SDN:P01::PHXXZZXX,pH (unspecified scale) of the water body,SDN:P06::UUUU,Dimensionless,pH per unit volume of the water body,,PHPH,pH,,physicalMeasurement,CO2,
GF3,PHT,IML,Total scale,,,,,PHMASSXX,pH (total scale) {pH[T]} of the water body,Total scale,,,sea_water_ph_reported_on_total_scale,SDN:P01::PHMASSXX,pH (total scale) {pH[T]} of the water body,SDN:P06::UUPH,pH units,,,PHT_,Total_pHmass,,physicalMeasurement,CO2,
GF3,POTM,"BIO,IML,MEDS","degree Celsius|IPTS-68, deg C|degrees C|ITS-68, deg C",IPTS-68,,,,POTMS601,"Potential temperature of the water body by CTD and computation from pressure, salinity and IPTS-68 temperature using UNESCO algorithm",degree Celsius,,IPTS-68,sea_water_potential_temperature,SDN:P01::POTMS601,"Potential temperature of the water body by CTD and computation from pressure, salinity and IPTS-68 temperature using UNESCO algorithm",SDN:P06::UPAA,Degrees Celsius,,,POTM,Potemp_ipts68,,physicalMeasurement,Temperature,
GF3,POTM,"BIO,IML,MEDS","degree Celsius|IPTS-68, deg C|degrees C|ITS-68, deg C|ITS-90, deg C",,,,,POTMCV01,Potential temperature of the water body by computation using UNESCO 1983 algorithm,degree Celsius,,,sea_water_potential_temperature,SDN:P01::POTMCV01,Potential temperature of the water body by computation using UNESCO 1983 algorithm,SDN:P06::UPAA,Degrees Celsius,,,POTM,WC_Potemp,,physicalMeasurement,Temperature,
GF3,PRES,"BIO,IML,MEDS",decibar|decibars|db,,,,"lambda PRES,latitude: -1*gsw.z_from_p(PRES,latitude)",depth,Depth (spatial coordinate) relative to water surface in the water body,meters,,,depth,SDN:P01::ADEPZZ01,Depth (spatial coordinate) relative to water surface in the water body,SDN:P06::ULAA,Metres,The distance of a sensor or sampling point below the sea surface,,DEPH,DepBelowSurf,,coordinate,Location,
GF3,PRES,"BIO,IML,MEDS",decibar|decibars|db,,,,,PRESPR01,Pressure (spatial coordinate) exerted by the water body by profiling pressure sensor and correction to read zero at sea level,decibar,,,sea_water_pressure,SDN:P01::PRESPR01,Pressure (spatial coordinate) exerted by the water body by profiling pressure sensor and correction to read zero at sea level,SDN:P06::UPDB,Decibars,Pressure (spatial coordinate) exerted by the water body by profiling pressure sensor and correction to read zero at sea level,,PRES,Pres_Z,,coordinate,Location,
GF3,PSAL,"BIO,IML,MEDS",1e-3|psu|PSU|practical salinity unit (PSS-78)||none,PSS-78,bottle|sample,,,PSALBSTX,Practical salinity of the water body by bench salinometer and computation using UNESCO 1983 algorithm,1e-3,bottle,PSS-78,sea_water_practical_salinity,SDN:P01::PSALBSTX,Practical salinity of the water body by bench salinometer and computation using UNESCO 1983 algorithm,SDN:P06::UUUU,Dimensionless,Practical salinity of the water body,,PSAL,P_sal_salinom,,physicalMeasurement,Salinity,
GF3,PSAL,"BIO,IML,MEDS",1e-3|psu|PSU|practical salinity unit (PSS-78)||none,PSS-78,CTD|STD|GUILDLINE|GUILDLN\.*|SBE\s*19|SBE\s*9|SBE\s*37|SBE\s*25|Microcat|Maestro|Concerto|XR\-*620|XR\-*420,,,PSALST01,Practical salinity of the water body by CTD and computation using UNESCO 1983 algorithm,1e-3,CTD,PSS-78,sea_water_practical_salinity,SDN:P01::PSALST01,Practical salinity of the water body by CTD and computation using UNESCO 1983 algorithm,SDN:P06::UUUU,Dimensionless,Practical salinity of the water body,,PSAL,P_sal_CTD,,physicalMeasurement,Salinity,
GF3,PSAL,"BIO,IML,MEDS",1e-3|psu|PSU|practical salinity unit (PSS-78)||none,PSS-78,,,,PSLTZZ01,Practical salinity of the water body,1e-3,,PSS-78,sea_water_practical_salinity,SDN:P01::PSLTZZ01,Practical salinity of the water body,SDN:P06::UUUU,Dimensionless,Practical salinity of the water body,,PSAL,P_sal,,physicalMeasurement,Salinity,
GF3,PSAR,"BIO,IML,MEDS",ueinsteins/s/m^2|micromole per metre square per second|micromoles/m^2/sec|umol photons/m2/s,,,,,IRRDUV01,Photosynthetically Active Radiation,uEinsteins/s/m^2,,,downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDUV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the water body by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,PSAR,SubsurVPAR,,physicalMeasurement,Optical Properties,
GF3,QCFF,,none,,,,,QCFF_XX,Quality Flag: QCFF,,,,status_flag,,,,,,,QCFF,,,qualityInformation,Quality,
GF3,SECC,"BIO,IML,MEDS",m,,,,,SECCSDNX,Visibility in the water body by Secchi disk,m,,,secchi_depth_of_sea_water,SDN:P01::SECCSDNX,Visibility in the water body by Secchi disk,SDN:P06::ULAA,Metres,Visibility in the water body by Secchi disk,,SECC,Secchi,,physicalMeasurement,Optical Properties,
GF3,SIGP,"BIO,IML,MEDS","kg/m^3|kilogram per metre cube|sigma-theta, kg/m^3|sigma-theta, Kg/m^3",,,,,SIGTEQ01,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm,kg/m^3,,,sea_water_sigma_theta,SDN:P01::SIGTEQ01,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm,SDN:P06::UKMC,Kilograms per cubic metre,Sigma-theta of the water body by computation from salinity and potential temperature using UNESCO algorithm,,SIGP,SigmaTheta,,physicalMeasurement,Other,
GF3,SIGT,"BIO,IML,MEDS",kg/m^3|kilogram per metre cube,,,,,SIGTEQSTXX,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,kg/m^3,,,sea_water_sigma_t,SDN:P01::SIGTEQST,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,SDN:P06::UKMC,Kilograms per cubic metre,Sigma-T of the water body by computation from salinity and temperature using UNESCO algorithm,,SIGT,Sigma-T,,physicalMeasurement,Other,
GF3,SLCA,"BIO,IML,MEDS",mmol/m^3|millimole per metre cube,,,,,SLCAZZXX,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase],mmol/m^3,,,mole_concentration_of_silicate_in_sea_water,SDN:P01::SLCAZZXX,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase],SDN:P06::MMCM,Millimoles per cubic metre,Concentration of silicate {SiO44- CAS 17181-37-2} per unit volume of the water body [unknown phase],,SLCA,SiOx,,physicalMeasurement,Nutrients,
GF3,SPAR,"BIO,MEDS","ueinsteins/s/m^2|umol photons/m2/s|umol photons/m2/s, logarithmic",,,,,IRRDSV01,Surface Photosynthetically Active Radiation,uEinsteins/s/m^2,,,surface_downwelling_photosynthetic_photon_spherical_irradiance_in_sea_water,SDN:P01::IRRDSV01,Downwelling vector irradiance as photons of electromagnetic radiation (PAR wavelengths) in the atmosphere by cosine-collector radiometer,SDN:P06::UMES,MicroEinsteins per square metre per second,,,SPAR,SurfVPAR,,physicalMeasurement,Optical Properties,
GF3,SYTM,"BIO,IML,MEDS",UTC|GMT|none,,,,,measurement_time,Exact Measurement Time,,,,time,,,,,,,SYTM,measurement_time,,coordinate,Time,
GF3,TE90,"BIO,IML,MEDS",degree Celsius|degree c|degrees C|deg C,ITS-90,CTD|STD|GUILDLINE|GUILDLN\.*|SBE\s*19|SBE\s*9|SBE\s*37|SBE\s*25|Microcat|Maestro|Concerto|XR\-*620|XR\-*420,,,TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,degree Celsius,CTD,ITS-90,sea_water_temperature,SDN:P01::TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,CTDTmp90,,physicalMeasurement,Temperature,
GF3,TE90,"BIO,IML,MEDS",degree Celsius|degree c|degrees C|deg C,ITS-90,Reverse Thermometer,,,TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,ITS-90,sea_water_temperature,SDN:P01::TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,RTTemp90,,physicalMeasurement,Temperature,
GF3,TE90,"BIO,IML,MEDS",degree Celsius|degree c|degrees C|deg C,ITS-90,,,,TEMPP901,Temperature (ITS-90) of the water body,degree Celsius,,ITS-90,sea_water_temperature,SDN:P01::TEMPP901,Temperature (ITS-90) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,WC_temp90,,physicalMeasurement,Temperature,
GF3,TEMP,"BIO,IML,MEDS","degree Celsius|degree c|degrees C|IPTS-68, deg C|ITS-68, deg C|deg C",IPTS-68,CTD|STD|GUILDLINE|GUILDLN\.*|SBE\s*19|SBE\s*9|SBE\s*37|SBE\s*25|Microcat|Maestro|Concerto|XR\-*620|XR\-*420,,,TEMPS601,Temperature (IPTS-68) of the water body by CTD or STD,degree Celsius,CTD,IPTS-68,sea_water_temperature,SDN:P01::TEMPS601,Temperature (IPTS-68) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,CTDTmp68,,physicalMeasurement,Temperature,
GF3,TEMP,"BIO,IML,MEDS","degree Celsius|degree c|degrees C|IPTS-68, deg C|ITS-68, deg C|deg C",IPTS-68,Reverse Thermometer,,,TEMPR601,Temperature (IPTS-68) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,IPTS-68,sea_water_temperature,SDN:P01::TEMPR601,Temperature (IPTS-68) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,RTTemp68,,physicalMeasurement,Temperature,
GF3,TEMP,"BIO,IML,MEDS","degree Celsius|degree c|degrees C|IPTS-68, deg C|ITS-68, deg C|deg C",IPTS-68,,,,TEMPP681,Temperature (IPTS-68) of the water body,degree Celsius,,IPTS-68,sea_water_temperature,SDN:P01::TEMPP681,Temperature (IPTS-68) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,WC_temp68,,physicalMeasurement,Temperature,
GF3,TEMP,"BIO,IML,MEDS",degree Celsius|degree c|degrees C|deg C,ITS-90,CTD|STD|GUILDLINE|GUILDLN\.*|SBE\s*19|SBE\s*9|SBE\s*37|SBE\s*25|Microcat|Maestro|Concerto|XR\-*620|XR\-*420,,,TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,degree Celsius,CTD,ITS-90,sea_water_temperature,SDN:P01::TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,CTDTmp90,,physicalMeasurement,Temperature,
GF3,TEMP,"BIO,IML,MEDS","degree Celsius|degree c|degrees C|IPTS-68, deg C|ITS-68, deg C|deg C",IPTS-68,CTD|STD|GUILDLINE|GUILDLN\.*|SBE\s*19|SBE\s*9|SBE\s*37|SBE\s*25|Microcat|Maestro|Concerto|XR\-*620|XR\-*420,,lambda TEMP: gsw.t90_from_t68(TEMP),TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,degree Celsius,CTD,ITS-90,sea_water_temperature,SDN:P01::TEMPS901,Temperature (ITS-90) of the water body by CTD or STD,SDN:P06::UPAA,Degrees Celsius,Unavailable,,TEMP,CTDTmp90,,physicalMeasurement,Temperature,
GF3,TEMP,"BIO,IML,MEDS",degree Celsius|degree c|degrees C|deg C,ITS-90,Reverse Thermometer,,,TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,ITS-90,sea_water_temperature,SDN:P01::TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,RTTemp90,,physicalMeasurement,Temperature,
GF3,TEMP,"BIO,IML,MEDS","degree Celsius|degree c|degrees C|IPTS-68, deg C|ITS-68, deg C|deg C",IPTS-68,Reverse Thermometer,,lambda TEMP: gsw.t90_from_t68(TEMP),TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,degree Celsius,Reverse Thermometer,ITS-90,sea_water_temperature,SDN:P01::TEMPR901,Temperature (ITS-90) of the water body by reversing thermometer,SDN:P06::UPAA,Degrees Celsius,,,TEMP,RTTemp90,,physicalMeasurement,Temperature,
GF3,TEMP,"BIO,IML,MEDS",degree Celsius|degree c|degrees C|deg C,ITS-90,,,,TEMPP901,Temperature (ITS-90) of the water body,degree Celsius,,ITS-90,sea_water_temperature,SDN:P01::TEMPP901,Temperature (ITS-90) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,WC_temp90,,physicalMeasurement,Temperature,
GF3,TEMP,"BIO,IML,MEDS","degree Celsius|degree c|degrees C|IPTS-68, deg C|ITS-68, deg C|deg C",IPTS-68,,,lambda TEMP: gsw.t90_from_t68(TEMP),TEMPP901,Temperature (ITS-90) of the water body,degree Celsius,,ITS-90,sea_water_temperature,SDN:P01::TEMPP901,Temperature (ITS-90) of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature (ITS-90) of the water body,,TE90,WC_temp90,,physicalMeasurement,Temperature,
GF3,TEMP,"BIO,IML,MEDS","degree Celsius|degree c|degrees C|IPTS-68, deg C|ITS-68, deg C|deg C",,,,,TEMPPR01,Temperature of the water body,degree Celsius,,,sea_water_temperature,SDN:P01::TEMPPR01,Temperature of the water body,SDN:P06::UPAA,Degrees Celsius,Temperature of the water body,,TEMP,Temp,,physicalMeasurement,Temperature,
GF3,TICW,IML,umol/kg,,bottle|sample,,,MDMAP010,Concentration of organic carbon {organic_C CAS 7440-44-0} {POC} per unit volume of the water body [particulate >unknown phase],umol/kg,bottle,,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,SDN:P01::MDMAP010,Concentration of organic carbon {organic_C CAS 7440-44-0} {POC} per unit volume of the water body [particulate >unknown phase],SDN:P06::KGUM,Micromoles per kilogram,,,TICW,POC,,physicalMeasurement,Colored Dissolved Organic Matter,
GF3,TRB,"MEDS,IML",NTU,,,,,TURBNTUXX,Turbidity of water in the water body,NTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::USTU,Nephelometric Turbidity Units,Estimate of suspended sediment concentration based on the proportion of a light transmission in the water column that is reflected back to a co-located receiver.,,TRB4,Turbidity,,physicalMeasurement,Total Suspended Matter,
GF3,TURB,"MEDS,IML",NTU,,,,,TURBNTUXX,Turbidity of water in the water body,NTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::USTU,Nephelometric Turbidity Units,Estimate of suspended sediment concentration based on the proportion of a light transmission in the water column that is reflected back to a co-located receiver.,,TRB4,Turbidity,,physicalMeasurement,Total Suspended Matter,
GF3,TURB,BIO,m^-1/sr,,WETECOBB,,,VSCTXX01,Volume scattering of light (unspecified wavelengths) by the water body,m^-1/sr,,,volume_scattering_function_of_radiative_flux_in_sea_water,SDN:P01::VSCTXXXX,Volume scattering of light (unspecified wavelengths) by the water body,SDN:P06::PMSR,per metre per steradian,Turbidity of water in the water body,,TURW,Light_scattering,,physicalMeasurement,Total Suspended Matter,
GF3,TURB,BIO,FTU|Formazine Turbidity Unit ,,,,,TURBFTUXX,Turbidity of water in the water body,FTU,,,sea_water_turbidity,SDN:P01::TURBXXXX,Turbidity of water in the water body,SDN:P06::UFNU,Formazin Nephelometric Units,Turbidity of water in the water body,,TURB,Turbidity,,physicalMeasurement,Total Suspended Matter,
GF3,TURW,BIO,m^-1/sr,,WETECOBB,,,VSCTXX01,Volume scattering of light (unspecified wavelengths) by the water body,m^-1/sr,,,volume_scattering_function_of_radiative_flux_in_sea_water,SDN:P01::VSCTXXXX,Volume scattering of light (unspecified wavelengths) by the water body,SDN:P06::PMSR,per metre per steradian,Turbidity of water in the water body,,TURW,Light_scattering,,physicalMeasurement,Total Suspended Matter,
GF3,VAIS,,hertz,,,,,BV_Freq,Brunt Vaisala Frequency,Hz,,,,,,,,,,VAIS,BV_Freq,,physicalMeasurement,Other,
GF3,WETECOBB,,m^-1 sr^-1|m^-1/sr,,turbWETbb0|WETECOBB,,,VSCTXX01,Volume scattering of light (unspecified wavelengths) by the water body,m^-1/sr,,,volume_scattering_function_of_radiative_flux_in_sea_water,SDN:P01::VSCTXXXX,Volume scattering of light (unspecified wavelengths) by the water body,SDN:P06::PMSR,per metre per steradian,Turbidity of water in the water body,,TURW,Light_scattering,,physicalMeasurement,Total Suspended Matter,
IML,GEOP,,none,,,,,GEOP_XX,,1,,,,,,,,,,GEOP,,,,Other,
IML,NTRA,,mmol/m^3|millimole per metre cube,,,,,,,mmol/m^3,,,mole_concentration_of_nitrate_in_sea_water,,,,,,,,NO3,,physicalMeasurement,Nutrients,
GF3,OTMP,,degrees C|deg C,,,,,OTMP_XX,Temperature of oxygen determination by optode,degree Celsius,,,temperature_of_sensor_for_oxygen_in_sea_water,SDN:P01::OXYTAAOP,Temperature of oxygen determination by optode,SDN:P06::UPAA,Degrees Celsius,,,OTMP,O2_temp,,physicalMeasurement,Temperature,
IML,SDEV,,,,,,,SDEV_XX,,,,,,,,,,,,,,,auxiliaryInformation,Other,
IML,SPVO,,m^3/kg|mg**3/kg,,,,,SPVO_XX,,m^3/kg,,,,,,,,,,,,,,Other,
IML,UNKN,,,,^v\d+$|^upoly\d+$,,,,,,,,,,,,,,,,,,,,